2025-02-27 18:47:06,082 - INFO - Detected 12 anomalies:
2025-02-27 23:20:10,823 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.572418048, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,824 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:25.543718144, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,825 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:25.594760192, Src IP: 192.168.1.254, Dst IP: 192.168.1.255, Length: 229
2025-02-27 23:20:10,826 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:25.601295104, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,827 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:26.543524864, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,828 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:26.620932864, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,829 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:27.544589056, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,830 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:27.644380672, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,831 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:30.039880704, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,833 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:30.103049728, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,834 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:31.040302336, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,835 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:31.129128704, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,836 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:32.042133504, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,837 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:32.048559104, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,838 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:33.042235136, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
2025-02-27 23:20:10,839 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:33.073210880, Src IP: 192.168.1.87, Dst IP: 192.168.1.73, Length: 539
2025-02-27 23:20:10,840 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:38.724151296, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 698
2025-02-27 23:20:10,841 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:38.862654208, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 698
2025-02-27 23:20:10,842 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:39.125693696, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 698
